Trip_ID,Travel_Date,Year,Month,Season,Origin_Country,Destination_Country,Traveler_Age_Group,Traveler_Gender,Group_Type,Group_Size,Travel_Purpose,Travel_Mode,Duration_Days,Accommodation_Type,Booking_Channel,Visa_Type,Travel_Insurance,Climate_Preference,Primary_Attraction,Total_Spend_USD,Flight_Cost_USD,Accommodation_Cost_USD,Food_Cost_USD,Activities_Cost_USD,Payment_Method,Advance_Booking_Days,Repeat_Visitor,Used_Travel_App,Rating_Out_Of_5,Satisfaction_Level,Would_Recommend,Number_Of_Attractions_Visited,Local_Transport_Used,Sustainable_Tourism_Choice
TRP103091,03-11-2023,2023,11,Autumn,UAE,Peru,65+,Male,Family,11,Medical,Flight,15,5-Star Hotel,Direct Hotel,Business Visa,Yes,Temperate,Theme Parks,6529.67,2474.95,2079.56,1097.93,877.23,Debit Card,305,No,No,5,Very Satisfied,Yes,15,Yes,Yes
TRP103092,07-06-2020,2020,6,Summer,Turkey,Italy,35-44,Non-Binary,Couple,5,Adventure,Flight,21,5-Star Hotel,Direct Hotel,Business Visa,Yes,Tropical,Mountains/Trekking,8180.55,2306.16,1676.63,868.88,3328.88,Credit Card,57,No,Yes,5,Very Satisfied,Yes,4,Yes,No
TRP103093,02-04-2021,2021,4,Spring,Canada,Indonesia (Bali),65+,Female,Family,11,Medical,Cruise,19,4-Star Hotel,Direct Hotel,Business Visa,Yes,Temperate,Beaches,7142.91,2157.14,2023.83,1147.76,1814.18,Cash,99,No,No,1,Very Dissatisfied,No,1,No,No
TRP103094,08-11-2021,2021,11,Autumn,Norway,Spain,65+,Female,Business Group,5,Medical,Road Trip,30,3-Star Hotel,Mobile App,Tourist Visa,Yes,Tropical,Art & Museums,3472.07,1052.91,1314.46,505.08,599.62,Travel Card,8,No,Yes,5,Very Satisfied,No,4,Yes,Yes
TRP103095,03-03-2024,2024,3,Spring,Canada,Japan,18-24,Female,Family,5,Religious,Train,29,Hostel,Airline Website,Business Visa,Yes,Mediterranean,Wellness/Spa,6644.94,2766.65,1453.78,1618.67,805.84,Cash,20,No,No,5,Very Satisfied,Yes,12,Yes,No
TRP103096,05-09-2024,2024,9,Autumn,Canada,Croatia,18-24,Male,Solo,9,Leisure,Ferry,7,3-Star Hotel,Airline Website,E-Visa,Yes,Tropical,Art & Museums,3000.33,1075.66,1173.71,398.74,352.22,Bank Transfer,346,No,No,5,Very Satisfied,No,2,Yes,No
TRP103097,03-06-2024,2024,6,Summer,Brazil,France,55-64,Female,Senior Group,2,Leisure,Train,30,5-Star Hotel,Direct Hotel,Business Visa,Yes,Mediterranean,Mountains/Trekking,13990.8,6013.77,4777.3,3423.81,-224.08,Travel Card,184,No,No,3,Neutral,No,2,No,No
TRP103098,11-03-2022,2022,3,Spring,South Korea,UAE (Dubai),45-54,Male,Solo,4,Business,Road Trip,12,4-Star Hotel,Online Travel Agency,Business Visa,Yes,Desert,Historical Sites,2136.14,475.13,437.07,401.26,822.68,Travel Card,291,Yes,No,5,Very Satisfied,Yes,15,No,Yes
TRP103099,27-03-2023,2023,3,Spring,United States,Italy,25-34,Male,Business Group,10,Leisure,Flight,3,3-Star Hotel,Airline Website,Tourist Visa,No,Desert,Mountains/Trekking,988.65,321.15,290.41,157.61,219.48,Debit Card,204,No,Yes,4,Satisfied,No,11,Yes,No
TRP103100,04-08-2023,2023,8,Summer,Thailand,Italy,55-64,Female,Couple,2,Leisure,Ferry,29,Resort,Travel Agent,Business Visa,No,Desert,Theme Parks,8308.5,3189.25,2496.73,1192.7,1429.82,Travel Card,361,No,Yes,3,Neutral,No,1,Yes,No
TRP103101,19-01-2020,2020,1,Winter,Italy,Thailand,25-34,Male,Senior Group,6,Business,Cruise,24,Hostel,Direct Hotel,Visa on Arrival,No,Mountainous,Art & Museums,7276.46,2666.56,2905.91,1378.34,325.65,Cryptocurrency,229,No,Yes,5,Very Satisfied,Yes,14,Yes,No
TRP103102,18-02-2019,2019,2,Winter,Norway,Vietnam,25-34,Female,Senior Group,11,Adventure,Train,20,Hostel,Mobile App,Tourist Visa,No,Temperate,Theme Parks,12292.8,4934.87,2751.47,2744.54,1861.92,Credit Card,108,No,Yes,5,Very Satisfied,Yes,2,No,Yes
TRP103103,18-04-2024,2024,4,Spring,South Africa,Peru,18-24,Female,Family,6,Eco-Tourism,Train,20,5-Star Hotel,Mobile App,Visa Free,No,Mediterranean,Wildlife/Safari,10656.29,2275.81,3279.28,1085.25,4015.95,Credit Card,62,No,No,4,Satisfied,Yes,14,No,Yes
TRP103104,12-08-2021,2021,8,Summer,Norway,Mexico,55-64,Male,Family,8,Cultural,Cruise,6,Camping,Tour Operator,Tourist Visa,Yes,Tropical,Art & Museums,3494.37,935.9,871.21,585.8,1101.46,Bank Transfer,365,No,No,2,Dissatisfied,No,12,Yes,No
TRP103105,11-11-2023,2023,11,Autumn,Thailand,Italy,45-54,Male,Friends Group,2,Educational,Cruise,20,Hostel,Direct Hotel,E-Visa,No,Mountainous,Wellness/Spa,5034,2242.03,1389.45,1011,391.52,Debit Card,135,No,Yes,5,Very Satisfied,Yes,2,Yes,No
TRP103106,14-04-2024,2024,4,Spring,Spain,Turkey,18-24,Male,Couple,12,Leisure,Flight,3,4-Star Hotel,Airline Website,Visa Free,Yes,Mountainous,Historical Sites,131.36,36.57,39.66,16.05,39.08,Bank Transfer,21,No,Yes,4,Satisfied,Yes,4,No,No
TRP103107,29-07-2021,2021,7,Summer,South Korea,Switzerland,18-24,Male,Senior Group,2,Adventure,Flight,11,Boutique Hotel,Travel Agent,Tourist Visa,No,Mountainous,Historical Sites,2826.92,800.27,973.7,441.85,611.1,Debit Card,264,Yes,No,2,Dissatisfied,Yes,3,Yes,Yes
TRP103108,03-05-2023,2023,5,Spring,South Korea,Czech Republic,25-34,Non-Binary,Senior Group,5,Educational,Ferry,26,3-Star Hotel,Travel Agent,Business Visa,No,Mountainous,Theme Parks,23202.1,7819.08,8429.89,4824.56,2128.57,Bank Transfer,308,Yes,Yes,3,Neutral,No,6,Yes,No
TRP103109,22-03-2024,2024,3,Spring,UAE,Mexico,55-64,Female,Business Group,10,Medical,Flight,3,Camping,Tour Operator,Tourist Visa,No,Desert,Art & Museums,594.21,209.9,217.89,136.79,29.63,Credit Card,186,Yes,No,2,Dissatisfied,No,11,No,No
TRP103110,09-07-2022,2022,7,Summer,India,Egypt,18-24,Male,Couple,6,Eco-Tourism,Train,12,Boutique Hotel,Tour Operator,Tourist Visa,Yes,Desert,Cities/Urban,1152.17,238.28,248.98,152.35,512.56,Bank Transfer,229,Yes,No,5,Very Satisfied,Yes,9,No,Yes
TRP103111,09-12-2024,2024,12,Winter,Norway,New Zealand,35-44,Female,Solo,5,Adventure,Cruise,19,5-Star Hotel,Online Travel Agency,Visa Free,No,Mediterranean,Art & Museums,3320.71,1260.7,750.39,780.73,528.89,Travel Card,120,No,No,5,Very Satisfied,Yes,13,No,Yes
TRP103112,05-08-2022,2022,8,Summer,China,Italy,18-24,Male,Business Group,1,Leisure,Road Trip,30,Camping,Travel Agent,E-Visa,No,Desert,Historical Sites,7092,2565.6,1451.03,739.17,2336.2,Travel Card,56,No,Yes,5,Very Satisfied,Yes,11,No,No
TRP103113,12-08-2020,2020,8,Summer,South Africa,Indonesia (Bali),55-64,Male,Couple,5,Business,Flight,25,Camping,Tour Operator,Business Visa,Yes,Mediterranean,Mountains/Trekking,7836.43,1860.96,2039.46,1751.27,2184.74,Credit Card,217,No,No,4,Satisfied,Yes,13,No,No
TRP103114,22-09-2020,2020,9,Autumn,Netherlands,Italy,55-64,Male,Senior Group,8,Cultural,Train,16,5-Star Hotel,Online Travel Agency,Tourist Visa,Yes,Temperate,Beaches,4696.8,1341.91,1603.01,472.89,1278.99,Cryptocurrency,177,No,No,2,Dissatisfied,No,2,Yes,No
TRP103115,08-11-2023,2023,11,Autumn,Italy,New Zealand,35-44,Male,Couple,11,Cultural,Road Trip,10,Boutique Hotel,Travel Agent,Tourist Visa,No,Tropical,Food & Cuisine,2693.4,1012.98,600.72,496.96,582.74,Travel Card,158,No,No,4,Satisfied,No,1,Yes,No
TRP103116,28-08-2022,2022,8,Summer,Norway,Morocco,45-54,Female,Senior Group,7,Leisure,Cruise,24,3-Star Hotel,Tour Operator,Visa Free,Yes,Mediterranean,Food & Cuisine,9207.7,2000.68,2761.4,1167.41,3278.21,Credit Card,177,Yes,Yes,5,Very Satisfied,No,2,Yes,Yes
TRP103117,21-01-2022,2022,1,Winter,Mexico,New Zealand,65+,Female,Solo,5,Medical,Cruise,20,Hostel,Travel Agent,Visa on Arrival,No,Mediterranean,Theme Parks,4326.29,1937.06,1359.91,493.19,536.13,Debit Card,45,No,No,5,Very Satisfied,No,3,No,Yes
TRP103118,16-10-2020,2020,10,Autumn,Australia,Australia,55-64,Male,Family,4,Leisure,Ferry,10,Resort,Mobile App,Visa on Arrival,Yes,Temperate,Beaches,7800.97,3501.04,2767.76,1685.16,-152.99,Debit Card,70,No,No,3,Neutral,Yes,2,No,Yes
TRP103119,18-07-2019,2019,7,Summer,France,Peru,45-54,Male,Senior Group,9,Religious,Train,4,Boutique Hotel,Mobile App,E-Visa,No,Mediterranean,Wildlife/Safari,2040.66,529.01,485.56,319.13,706.96,Cash,215,Yes,No,4,Satisfied,No,13,Yes,Yes
TRP103120,23-02-2023,2023,2,Winter,Indonesia,Maldives,25-34,Male,Business Group,3,Business,Road Trip,22,4-Star Hotel,Airline Website,Tourist Visa,Yes,Arctic/Cold,Food & Cuisine,5504.18,1924.18,1465.19,1144.75,970.06,Bank Transfer,190,No,No,4,Satisfied,Yes,8,No,No
TRP103121,23-10-2020,2020,10,Autumn,Netherlands,Canada,25-34,Female,Couple,1,Cultural,Cruise,10,Camping,Direct Hotel,Business Visa,Yes,Tropical,Cities/Urban,4530.14,2029.49,1077.87,967.88,454.9,Cash,281,Yes,Yes,4,Satisfied,Yes,6,Yes,Yes
TRP103122,30-06-2020,2020,6,Summer,Russia,Kenya,25-34,Female,Family,4,Adventure,Cruise,29,Hostel,Airline Website,Visa on Arrival,Yes,Mountainous,Beaches,2718.34,883.46,937.94,598.48,298.46,Cash,273,No,Yes,4,Satisfied,Yes,14,Yes,Yes
TRP103123,26-03-2022,2022,3,Spring,Sweden,Maldives,45-54,Male,Friends Group,6,Adventure,Road Trip,15,Camping,Airline Website,Visa Free,No,Tropical,Mountains/Trekking,7927.84,2930.58,2491.36,1158.26,1347.64,Credit Card,2,No,No,4,Satisfied,No,8,Yes,No
TRP103124,18-03-2020,2020,3,Spring,Indonesia,Switzerland,35-44,Female,Family,7,Educational,Road Trip,20,Resort,Airline Website,Visa on Arrival,No,Desert,Art & Museums,5725.63,2072.52,1596.61,755.49,1301.01,Credit Card,95,No,Yes,4,Satisfied,Yes,5,No,Yes
TRP103125,13-07-2021,2021,7,Summer,UAE,Switzerland,35-44,Female,Business Group,11,Leisure,Road Trip,8,Hostel,Online Travel Agency,Visa Free,No,Mountainous,Cities/Urban,2206.79,666.54,817.45,267.28,455.52,Debit Card,224,No,Yes,5,Very Satisfied,Yes,4,Yes,Yes
TRP103126,12-06-2022,2022,6,Summer,United Kingdom,Croatia,35-44,Female,Couple,3,Educational,Cruise,17,Resort,Online Travel Agency,Visa Free,No,Mountainous,Wellness/Spa,6228.48,2209.11,1348.27,1101.42,1569.68,Cryptocurrency,225,No,Yes,5,Very Satisfied,Yes,12,Yes,Yes
TRP103127,26-04-2020,2020,4,Spring,Netherlands,UAE (Dubai),35-44,Female,Solo,1,Business,Road Trip,17,Boutique Hotel,Tour Operator,Tourist Visa,Yes,Mountainous,Wildlife/Safari,5072.31,1769.63,1872.49,842.93,587.26,Travel Card,255,No,Yes,3,Neutral,Yes,1,Yes,No
TRP103128,16-01-2024,2024,1,Winter,Brazil,Switzerland,45-54,Male,Couple,9,Medical,Flight,29,Resort,Travel Agent,Tourist Visa,No,Desert,Wildlife/Safari,2878.42,1135.11,863.4,678,201.91,Bank Transfer,153,No,Yes,1,Very Dissatisfied,No,10,Yes,No
TRP103129,27-03-2022,2022,3,Spring,Mexico,Singapore,25-34,Female,Friends Group,6,Adventure,Ferry,2,Camping,Mobile App,Business Visa,No,Desert,Wellness/Spa,148.35,39.78,30.68,23.84,54.05,Cash,261,No,Yes,5,Very Satisfied,Yes,1,Yes,No
TRP103130,17-03-2021,2021,3,Spring,India,Morocco,55-64,Female,Solo,9,Eco-Tourism,Ferry,5,4-Star Hotel,Tour Operator,E-Visa,Yes,Arctic/Cold,Cities/Urban,1335.47,466.03,507.36,228,134.08,Cryptocurrency,129,No,Yes,3,Neutral,Yes,15,Yes,No
TRP103131,26-07-2019,2019,7,Summer,Saudi Arabia,Mexico,25-34,Female,Solo,6,Cultural,Road Trip,5,3-Star Hotel,Airline Website,Tourist Visa,Yes,Arctic/Cold,Cities/Urban,2995.26,990.21,817.88,703.45,483.72,Debit Card,362,Yes,Yes,4,Satisfied,Yes,15,Yes,No
TRP103132,17-06-2022,2022,6,Summer,China,Maldives,45-54,Male,Couple,12,Eco-Tourism,Road Trip,8,3-Star Hotel,Direct Hotel,Business Visa,No,Mountainous,Food & Cuisine,3541.5,929.02,1275.4,572.57,764.51,Bank Transfer,13,Yes,No,4,Satisfied,No,6,Yes,No
TRP103133,13-01-2019,2019,1,Winter,United Kingdom,Spain,18-24,Male,Couple,6,Religious,Ferry,9,Boutique Hotel,Mobile App,Tourist Visa,No,Temperate,Art & Museums,727.65,151.4,274.1,76.35,225.8,Credit Card,70,No,Yes,5,Very Satisfied,Yes,11,Yes,Yes
TRP103134,10-07-2020,2020,7,Summer,France,Vietnam,65+,Male,Solo,3,Educational,Road Trip,18,3-Star Hotel,Airline Website,Visa Free,No,Desert,Beaches,8104.32,1952.26,1758.71,980.26,3413.09,Cash,24,Yes,Yes,4,Satisfied,No,15,Yes,Yes
TRP103135,03-12-2022,2022,12,Winter,Canada,Thailand,18-24,Female,Senior Group,12,Leisure,Cruise,6,Resort,Mobile App,Tourist Visa,Yes,Arctic/Cold,Food & Cuisine,572.44,188.27,223.3,141.36,19.51,Travel Card,197,No,Yes,5,Very Satisfied,Yes,9,Yes,No
TRP103136,17-10-2019,2019,10,Autumn,Turkey,Turkey,65+,Female,Friends Group,12,Adventure,Road Trip,8,Boutique Hotel,Airline Website,Visa on Arrival,Yes,Mediterranean,Art & Museums,1214.09,455.11,404.83,227.05,127.1,Travel Card,115,No,No,5,Very Satisfied,Yes,3,Yes,No
TRP103137,29-10-2024,2024,10,Autumn,UAE,Australia,35-44,Male,Friends Group,3,Eco-Tourism,Train,29,Airbnb/Vacation Rental,Travel Agent,Visa on Arrival,No,Arctic/Cold,Wellness/Spa,18051.05,6060.93,6593.24,2597.81,2799.07,Cash,169,Yes,Yes,4,Satisfied,Yes,5,No,No
TRP103138,15-06-2022,2022,6,Summer,Turkey,Vietnam,25-34,Female,Solo,4,Cultural,Cruise,21,Camping,Online Travel Agency,E-Visa,No,Arctic/Cold,Cities/Urban,6632.64,1525.81,1678.4,776.96,2651.47,Credit Card,87,No,Yes,4,Satisfied,No,15,No,Yes
TRP103139,14-10-2020,2020,10,Autumn,Sweden,Switzerland,45-54,Female,Solo,11,Adventure,Road Trip,30,3-Star Hotel,Airline Website,Visa on Arrival,Yes,Mountainous,Mountains/Trekking,1504.63,661.4,523.35,269.77,50.11,Travel Card,333,No,No,5,Very Satisfied,Yes,15,Yes,Yes
TRP103140,30-04-2021,2021,4,Spring,United Kingdom,Vietnam,25-34,Male,Couple,12,Educational,Cruise,21,Camping,Mobile App,Visa Free,No,Temperate,Food & Cuisine,5538.96,1950.76,1456.22,980.56,1151.42,Cash,292,No,Yes,3,Neutral,Yes,12,Yes,No
TRP103141,18-05-2021,2021,5,Spring,Australia,Singapore,18-24,Male,Senior Group,2,Leisure,Train,5,Camping,Mobile App,Tourist Visa,Yes,Mountainous,Historical Sites,315.9,76.4,70.29,34.18,135.03,Cash,290,Yes,No,4,Satisfied,No,1,No,No
TRP103142,07-12-2022,2022,12,Winter,France,Greece,18-24,Female,Business Group,9,Medical,Road Trip,29,Airbnb/Vacation Rental,Online Travel Agency,Visa on Arrival,Yes,Temperate,Cities/Urban,4760.64,1071.73,1391.84,954.12,1342.95,Debit Card,261,No,No,3,Neutral,Yes,6,No,No
TRP103143,03-06-2024,2024,6,Summer,Canada,Czech Republic,25-34,Non-Binary,Business Group,4,Medical,Cruise,7,4-Star Hotel,Airline Website,E-Visa,No,Tropical,Mountains/Trekking,2091.88,776.26,797.24,370.15,148.23,Travel Card,102,No,Yes,5,Very Satisfied,Yes,7,Yes,No
TRP103144,21-02-2024,2024,2,Winter,Saudi Arabia,Australia,55-64,Male,Family,8,Educational,Train,8,Airbnb/Vacation Rental,Travel Agent,Tourist Visa,No,Mediterranean,Food & Cuisine,4207.94,1794.73,1416.65,884.37,112.19,Debit Card,57,No,Yes,4,Satisfied,Yes,12,Yes,Yes
TRP103145,17-02-2022,2022,2,Winter,France,Greece,55-64,Female,Business Group,7,Leisure,Flight,19,Airbnb/Vacation Rental,Airline Website,Visa on Arrival,Yes,Arctic/Cold,Cities/Urban,9864.58,2880.34,3789.77,1670.83,1523.64,Debit Card,164,No,No,5,Very Satisfied,Yes,1,No,No
TRP103146,19-02-2024,2024,2,Winter,Saudi Arabia,Croatia,65+,Female,Friends Group,12,Adventure,Cruise,6,Camping,Tour Operator,Business Visa,No,Arctic/Cold,Beaches,1229.3,534.01,400.61,256.99,37.69,Credit Card,321,Yes,No,3,Neutral,No,6,No,No
TRP103147,01-07-2024,2024,7,Summer,Japan,Singapore,25-34,Female,Business Group,6,Cultural,Cruise,21,5-Star Hotel,Direct Hotel,Tourist Visa,No,Arctic/Cold,Food & Cuisine,5542.83,1692.3,1461.55,1067.85,1321.13,Debit Card,80,Yes,No,5,Very Satisfied,Yes,11,No,No
TRP103148,04-10-2022,2022,10,Autumn,Russia,Morocco,55-64,Female,Couple,3,Business,Ferry,30,4-Star Hotel,Online Travel Agency,Visa Free,Yes,Temperate,Wellness/Spa,2590.37,749.32,566.41,542.2,732.44,Travel Card,5,No,Yes,5,Very Satisfied,Yes,1,No,Yes
TRP103149,06-08-2021,2021,8,Summer,Argentina,Vietnam,45-54,Male,Couple,8,Business,Road Trip,4,Boutique Hotel,Online Travel Agency,Business Visa,No,Temperate,Beaches,878.4,339.12,214.55,205.49,119.24,Travel Card,68,No,Yes,4,Satisfied,No,10,Yes,Yes
TRP103150,16-07-2019,2019,7,Summer,Germany,Iceland,55-64,Female,Friends Group,10,Religious,Ferry,8,5-Star Hotel,Travel Agent,E-Visa,No,Tropical,Beaches,1907.2,561.51,382.28,356.33,607.08,Travel Card,295,No,No,5,Very Satisfied,No,10,Yes,Yes
TRP103151,11-08-2019,2019,8,Summer,Argentina,UAE (Dubai),55-64,Female,Solo,6,Adventure,Road Trip,28,5-Star Hotel,Online Travel Agency,E-Visa,No,Mediterranean,Beaches,3521.12,860.07,1317.67,853.23,490.15,Credit Card,54,No,Yes,3,Neutral,Yes,1,No,No
TRP103152,22-12-2022,2022,12,Winter,Brazil,Maldives,65+,Female,Senior Group,4,Business,Train,29,Resort,Mobile App,Business Visa,No,Arctic/Cold,Food & Cuisine,5990.49,1908.2,1492.02,887.99,1702.28,Cryptocurrency,136,No,Yes,3,Neutral,No,7,No,Yes
TRP103153,13-04-2020,2020,4,Spring,Brazil,Iceland,45-54,Male,Business Group,6,Business,Road Trip,23,Camping,Direct Hotel,Visa Free,Yes,Mountainous,Beaches,2945.84,1164.47,786.04,568.65,426.68,Credit Card,219,Yes,Yes,4,Satisfied,Yes,10,Yes,Yes
TRP103154,07-05-2020,2020,5,Spring,Argentina,Maldives,25-34,Female,Couple,2,Business,Train,15,4-Star Hotel,Online Travel Agency,E-Visa,No,Desert,Food & Cuisine,3250.5,1321.15,1192.84,334.63,401.88,Debit Card,17,Yes,Yes,4,Satisfied,Yes,6,Yes,No
TRP103155,19-12-2023,2023,12,Winter,Spain,Thailand,45-54,Female,Senior Group,10,Medical,Flight,8,3-Star Hotel,Travel Agent,E-Visa,Yes,Arctic/Cold,Wildlife/Safari,1631.83,662.3,608.94,198.95,161.64,Bank Transfer,273,Yes,Yes,3,Neutral,No,1,Yes,Yes
TRP103156,23-07-2023,2023,7,Summer,Brazil,Spain,25-34,Male,Senior Group,4,Medical,Cruise,6,4-Star Hotel,Direct Hotel,Business Visa,No,Desert,Wildlife/Safari,479.44,189.93,153.29,91.49,44.73,Credit Card,89,No,Yes,4,Satisfied,No,12,Yes,Yes
TRP103157,02-04-2024,2024,4,Spring,France,Morocco,55-64,Male,Solo,11,Educational,Train,30,Airbnb/Vacation Rental,Travel Agent,Visa Free,No,Tropical,Theme Parks,3678.09,1134.74,1227.57,438.79,876.99,Cash,203,Yes,Yes,4,Satisfied,No,9,Yes,No
TRP103158,24-12-2021,2021,12,Winter,Norway,Canada,45-54,Male,Senior Group,4,Educational,Train,23,4-Star Hotel,Travel Agent,Business Visa,Yes,Mediterranean,Theme Parks,6942.06,3084.8,2080.65,1186.16,590.45,Travel Card,98,No,Yes,3,Neutral,No,13,Yes,No
TRP103159,11-05-2020,2020,5,Spring,India,Indonesia (Bali),45-54,Male,Business Group,7,Eco-Tourism,Train,6,Airbnb/Vacation Rental,Travel Agent,Visa on Arrival,No,Mediterranean,Historical Sites,1183.37,303.47,424.27,295.16,160.47,Travel Card,288,Yes,No,3,Neutral,Yes,14,Yes,No
TRP103160,15-09-2022,2022,9,Autumn,Thailand,Portugal,35-44,Male,Solo,6,Educational,Train,24,Boutique Hotel,Online Travel Agency,E-Visa,Yes,Temperate,Wildlife/Safari,12595.89,2592.42,4945.9,3009.91,2047.66,Debit Card,141,Yes,Yes,4,Satisfied,Yes,8,Yes,No
TRP103161,05-01-2021,2021,1,Winter,Australia,Maldives,65+,Male,Business Group,7,Adventure,Ferry,3,Camping,Mobile App,Visa Free,No,Mediterranean,Wildlife/Safari,1281.63,472.23,474.52,292.58,42.3,Cash,291,No,Yes,5,Very Satisfied,No,1,Yes,No
TRP103162,29-09-2021,2021,9,Autumn,Australia,Switzerland,25-34,Female,Solo,2,Medical,Ferry,28,Hostel,Mobile App,Tourist Visa,No,Arctic/Cold,Historical Sites,6764.32,1956.24,1857.8,1190.68,1759.6,Travel Card,233,No,No,5,Very Satisfied,Yes,6,No,No
TRP103163,27-04-2023,2023,4,Spring,Australia,Mexico,45-54,Female,Friends Group,7,Medical,Ferry,22,3-Star Hotel,Airline Website,Business Visa,No,Arctic/Cold,Beaches,18782.59,7766.44,4957.37,2929.17,3129.61,Travel Card,258,No,No,5,Very Satisfied,Yes,5,Yes,No
TRP103164,10-04-2023,2023,4,Spring,South Korea,Italy,35-44,Male,Couple,10,Educational,Ferry,23,Camping,Mobile App,Visa Free,Yes,Tropical,Theme Parks,8562.9,3595.97,2206.7,1641.81,1118.42,Credit Card,1,Yes,Yes,3,Neutral,Yes,14,No,No
TRP103165,13-07-2020,2020,7,Summer,Russia,UAE (Dubai),18-24,Male,Solo,6,Educational,Cruise,7,5-Star Hotel,Airline Website,E-Visa,Yes,Mountainous,Historical Sites,1381.78,322.43,531.52,290.41,237.42,Cryptocurrency,332,Yes,No,3,Neutral,Yes,15,Yes,No
TRP103166,05-04-2019,2019,4,Spring,Thailand,Switzerland,18-24,Female,Family,12,Educational,Flight,16,4-Star Hotel,Travel Agent,E-Visa,Yes,Desert,Theme Parks,2626.4,1179.28,845.26,540.22,61.64,Debit Card,268,Yes,Yes,2,Dissatisfied,No,8,Yes,No
TRP103167,11-04-2024,2024,4,Spring,Spain,Turkey,18-24,Female,Business Group,4,Cultural,Cruise,22,Camping,Travel Agent,Business Visa,No,Desert,Art & Museums,2897.97,874.97,1133.04,369.93,520.03,Cryptocurrency,242,No,No,5,Very Satisfied,Yes,4,Yes,No
TRP103168,29-02-2024,2024,2,Winter,South Africa,Croatia,18-24,Male,Family,12,Eco-Tourism,Ferry,11,Resort,Tour Operator,Visa Free,Yes,Mountainous,Art & Museums,4697.31,1100.92,1225.06,540.27,1831.06,Debit Card,159,No,Yes,5,Very Satisfied,No,14,Yes,No
TRP103169,13-01-2022,2022,1,Winter,China,Morocco,35-44,Female,Family,12,Cultural,Flight,24,4-Star Hotel,Mobile App,E-Visa,Yes,Tropical,Historical Sites,7744.53,2255.8,2754.81,1905.5,828.42,Credit Card,283,No,Yes,4,Satisfied,Yes,11,Yes,No
TRP103170,03-06-2020,2020,6,Summer,Thailand,France,45-54,Male,Business Group,6,Educational,Ferry,27,4-Star Hotel,Mobile App,Visa Free,Yes,Desert,Beaches,12076.79,3772.85,2899.35,1556.28,3848.31,Debit Card,297,Yes,No,2,Dissatisfied,No,13,No,No
TRP103171,27-01-2020,2020,1,Winter,Turkey,Australia,45-54,Male,Family,1,Educational,Flight,25,3-Star Hotel,Tour Operator,Visa on Arrival,No,Arctic/Cold,Historical Sites,12396.25,4407.55,3707.81,2161.15,2119.74,Travel Card,16,No,Yes,5,Very Satisfied,Yes,15,No,Yes
TRP103172,19-09-2023,2023,9,Autumn,Saudi Arabia,New Zealand,65+,Female,Family,1,Eco-Tourism,Ferry,8,3-Star Hotel,Tour Operator,Visa on Arrival,Yes,Desert,Cities/Urban,4099.63,1394.49,1517.36,632.89,554.89,Credit Card,194,No,No,5,Very Satisfied,Yes,9,Yes,Yes
TRP103173,13-03-2019,2019,3,Spring,Russia,Iceland,65+,Female,Senior Group,9,Business,Train,6,Hostel,Direct Hotel,Business Visa,Yes,Arctic/Cold,Beaches,1040.16,380.88,308.31,133.79,217.18,Credit Card,20,No,Yes,3,Neutral,No,11,Yes,Yes
TRP103174,15-12-2021,2021,12,Winter,India,Indonesia (Bali),25-34,Male,Friends Group,1,Leisure,Train,2,Hostel,Direct Hotel,E-Visa,No,Mediterranean,Art & Museums,643.37,182.93,229.67,139.34,91.43,Cryptocurrency,353,No,Yes,3,Neutral,Yes,6,Yes,No
TRP103175,13-09-2024,2024,9,Autumn,Canada,Peru,55-64,Female,Solo,9,Religious,Ferry,14,3-Star Hotel,Airline Website,E-Visa,Yes,Mountainous,Cities/Urban,2485.46,959.43,721.57,261.66,542.8,Credit Card,360,Yes,No,4,Satisfied,Yes,5,Yes,Yes
TRP103176,18-01-2019,2019,1,Winter,Sweden,Czech Republic,35-44,Male,Business Group,10,Cultural,Road Trip,22,Airbnb/Vacation Rental,Mobile App,Visa on Arrival,No,Desert,Cities/Urban,13171.68,3752.23,4460.25,1880.93,3078.27,Travel Card,345,Yes,Yes,4,Satisfied,Yes,13,No,No
TRP103177,14-04-2024,2024,4,Spring,United States,Thailand,65+,Female,Couple,11,Cultural,Ferry,27,Camping,Tour Operator,E-Visa,Yes,Desert,Wildlife/Safari,2524.69,780.54,687.03,515.04,542.08,Bank Transfer,137,No,Yes,5,Very Satisfied,Yes,6,Yes,Yes
TRP103178,17-09-2024,2024,9,Autumn,Germany,UAE (Dubai),25-34,Female,Solo,8,Business,Cruise,19,Airbnb/Vacation Rental,Airline Website,Tourist Visa,Yes,Mediterranean,Wellness/Spa,8135.26,1790.27,1829.9,961.01,3554.08,Credit Card,11,Yes,Yes,5,Very Satisfied,Yes,15,No,No
TRP103179,18-08-2023,2023,8,Summer,Italy,Egypt,45-54,Female,Couple,7,Eco-Tourism,Road Trip,14,4-Star Hotel,Travel Agent,Tourist Visa,Yes,Mediterranean,Art & Museums,2885.8,1025.1,594.8,376.65,889.25,Cryptocurrency,179,No,No,4,Satisfied,No,10,Yes,No
